pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	441282	AKR1B15
9101	Carbohydrate_metabolism	5211	PFKL
9101	Carbohydrate_metabolism	5213	PFKM
9101	Carbohydrate_metabolism	5214	PFKP
9101	Carbohydrate_metabolism	5236	PGM1
9101	Carbohydrate_metabolism	55276	PGM2
9101	Carbohydrate_metabolism	57016	AKR1B10
9101	Carbohydrate_metabolism	57818	G6PC2
9101	Carbohydrate_metabolism	6476	SI
9101	Carbohydrate_metabolism	7360	UGP2
9101	Carbohydrate_metabolism	80201	HKDC1
9101	Carbohydrate_metabolism	8704	B4GALT2
9101	Carbohydrate_metabolism	8972	MGAM
9101	Carbohydrate_metabolism	92579	G6PC3
9101	Carbohydrate_metabolism	93432	MGAM2
9101	Carbohydrate_metabolism	10327	AKR1A1
9101	Carbohydrate_metabolism	10720	UGT2B11
9101	Carbohydrate_metabolism	10941	UGT2A1
9101	Carbohydrate_metabolism	217	ALDH2
9101	Carbohydrate_metabolism	219	ALDH1B1
9101	Carbohydrate_metabolism	223	ALDH9A1
9101	Carbohydrate_metabolism	224	ALDH3A2
9101	Carbohydrate_metabolism	2990	GUSB
9101	Carbohydrate_metabolism	501	ALDH7A1
9101	Carbohydrate_metabolism	54490	UGT2B28
9101	Carbohydrate_metabolism	54575	UGT1A10
9101	Carbohydrate_metabolism	54576	UGT1A8
9101	Carbohydrate_metabolism	54577	UGT1A7
9101	Carbohydrate_metabolism	54578	UGT1A6
9101	Carbohydrate_metabolism	54579	UGT1A5
9101	Carbohydrate_metabolism	54600	UGT1A9
9101	Carbohydrate_metabolism	54657	UGT1A4
9101	Carbohydrate_metabolism	54658	UGT1A1
9101	Carbohydrate_metabolism	54659	UGT1A3
9101	Carbohydrate_metabolism	55586	MIOX
9101	Carbohydrate_metabolism	574537	UGT2A2
9101	Carbohydrate_metabolism	7358	UGDH
9101	Carbohydrate_metabolism	7363	UGT2B4
9101	Carbohydrate_metabolism	7364	UGT2B7
9101	Carbohydrate_metabolism	7365	UGT2B10
9101	Carbohydrate_metabolism	7366	UGT2B15
9101	Carbohydrate_metabolism	7367	UGT2B17
9101	Carbohydrate_metabolism	79799	UGT2A3
9101	Carbohydrate_metabolism	9104	RGN
9101	Carbohydrate_metabolism	9365	KL
9101	Carbohydrate_metabolism	11181	TREH
9101	Carbohydrate_metabolism	178	AGL
9101	Carbohydrate_metabolism	2538	G6PC1
9101	Carbohydrate_metabolism	2548	GAA
9101	Carbohydrate_metabolism	2595	GANC
9101	Carbohydrate_metabolism	2632	GBE1
9101	Carbohydrate_metabolism	2645	GCK
9101	Carbohydrate_metabolism	276	AMY1A
9101	Carbohydrate_metabolism	277	AMY1B
9101	Carbohydrate_metabolism	278	AMY1C
9101	Carbohydrate_metabolism	279	AMY2A
9101	Carbohydrate_metabolism	280	AMY2B
9101	Carbohydrate_metabolism	2821	GPI
9101	Carbohydrate_metabolism	283209	PGM2L1
9101	Carbohydrate_metabolism	2992	GYG1
9101	Carbohydrate_metabolism	2997	GYS1
9101	Carbohydrate_metabolism	2998	GYS2
9101	Carbohydrate_metabolism	3098	HK1
9101	Carbohydrate_metabolism	3099	HK2
9101	Carbohydrate_metabolism	3101	HK3
9101	Carbohydrate_metabolism	5167	ENPP1
9101	Carbohydrate_metabolism	5169	ENPP3
9101	Carbohydrate_metabolism	5236	PGM1
9101	Carbohydrate_metabolism	55276	PGM2
9101	Carbohydrate_metabolism	57733	GBA3
9101	Carbohydrate_metabolism	57818	G6PC2
9101	Carbohydrate_metabolism	5834	PYGB
9101	Carbohydrate_metabolism	5836	PYGL
9101	Carbohydrate_metabolism	5837	PYGM
9101	Carbohydrate_metabolism	6476	SI
9101	Carbohydrate_metabolism	7360	UGP2
9101	Carbohydrate_metabolism	80201	HKDC1
9101	Carbohydrate_metabolism	8908	GYG2
9101	Carbohydrate_metabolism	8972	MGAM
9101	Carbohydrate_metabolism	92579	G6PC3
9101	Carbohydrate_metabolism	93432	MGAM2
9101	Carbohydrate_metabolism	10007	GNPDA1
9101	Carbohydrate_metabolism	10020	GNE
9101	Carbohydrate_metabolism	1118	CHIT1
9101	Carbohydrate_metabolism	132789	GNPDA2
9101	Carbohydrate_metabolism	140838	NANP
9101	Carbohydrate_metabolism	1727	CYB5R3
9101	Carbohydrate_metabolism	197258	FCSK
9101	Carbohydrate_metabolism	2582	GALE
9101	Carbohydrate_metabolism	2584	GALK1
9101	Carbohydrate_metabolism	2585	GALK2
9101	Carbohydrate_metabolism	2592	GALT
9101	Carbohydrate_metabolism	2645	GCK
9101	Carbohydrate_metabolism	2673	GFPT1
9101	Carbohydrate_metabolism	27159	CHIA
9101	Carbohydrate_metabolism	2762	GMDS
9101	Carbohydrate_metabolism	2821	GPI
9101	Carbohydrate_metabolism	29925	GMPPB
9101	Carbohydrate_metabolism	29926	GMPPA
9101	Carbohydrate_metabolism	3073	HEXA
9101	Carbohydrate_metabolism	3074	HEXB
9101	Carbohydrate_metabolism	3098	HK1
9101	Carbohydrate_metabolism	3099	HK2
9101	Carbohydrate_metabolism	3101	HK3
9101	Carbohydrate_metabolism	4351	MPI
9101	Carbohydrate_metabolism	51005	AMDHD2
9101	Carbohydrate_metabolism	51167	CYB5R4
9101	Carbohydrate_metabolism	51700	CYB5R2
9101	Carbohydrate_metabolism	51706	CYB5R1
9101	Carbohydrate_metabolism	5236	PGM1
9101	Carbohydrate_metabolism	5238	PGM3
9101	Carbohydrate_metabolism	5372	PMM1
9101	Carbohydrate_metabolism	5373	PMM2
9101	Carbohydrate_metabolism	54187	NANS
9101	Carbohydrate_metabolism	55276	PGM2
9101	Carbohydrate_metabolism	55577	NAGK
9101	Carbohydrate_metabolism	55907	CMAS
9101	Carbohydrate_metabolism	5973	RENBP
9101	Carbohydrate_metabolism	606495	CYB5RL
9101	Carbohydrate_metabolism	64841	GNPNAT1
9101	Carbohydrate_metabolism	6675	UAP1
9101	Carbohydrate_metabolism	7264	GFUS
9101	Carbohydrate_metabolism	7358	UGDH
9101	Carbohydrate_metabolism	7360	UGP2
9101	Carbohydrate_metabolism	80146	UXS1
9101	Carbohydrate_metabolism	80201	HKDC1
9101	Carbohydrate_metabolism	80896	NPL
9101	Carbohydrate_metabolism	8790	FPGT
9101	Carbohydrate_metabolism	91373	UAP1L1
9101	Carbohydrate_metabolism	9945	GFPT2
9101	Carbohydrate_metabolism	10423	CDIPT
9101	Carbohydrate_metabolism	113026	PLCD3
9101	Carbohydrate_metabolism	138429	PIP5KL1
9101	Carbohydrate_metabolism	200576	PIKFYVE
9101	Carbohydrate_metabolism	22876	INPP5F
9101	Carbohydrate_metabolism	22908	SACM1L
9101	Carbohydrate_metabolism	23007	PLCH1
9101	Carbohydrate_metabolism	23236	PLCB1
9101	Carbohydrate_metabolism	23396	PIP5K1C
9101	Carbohydrate_metabolism	253430	IPMK
9101	Carbohydrate_metabolism	27124	INPP5J
9101	Carbohydrate_metabolism	3612	IMPA1
9101	Carbohydrate_metabolism	3613	IMPA2
9101	Carbohydrate_metabolism	3628	INPP1
9101	Carbohydrate_metabolism	3631	INPP4A
9101	Carbohydrate_metabolism	3632	INPP5A
9101	Carbohydrate_metabolism	3633	INPP5B
9101	Carbohydrate_metabolism	3635	INPP5D
9101	Carbohydrate_metabolism	3636	INPPL1
